timestamp:1564001189137 ID:1003 DeviceID:null location:[6.0,2.0] floor:0 
timestamp:1564001189137 ID:1004 DeviceID:null location:[7.0,6.0] floor:0 
timestamp:1564001189137 ID:1000 DeviceID:null location:[15.0,3.1] floor:0 
timestamp:1564001189137 ID:1006 DeviceID:null location:[15.0,3.1] floor:0 
timestamp:1564001189137 ID:1009 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001189137 ID:1001 DeviceID:null location:[22.0,8.0] floor:0 
timestamp:1564001189137 ID:1007 DeviceID:null location:[6.0,2.0] floor:1 
timestamp:1564001189137 ID:1005 DeviceID:null location:[10.0,4.0] floor:0 
timestamp:1564001189137 ID:1002 DeviceID:null location:[15.0,3.1] floor:1 
timestamp:1564001189137 ID:1008 DeviceID:null location:[15.0,3.1] floor:1 
timestamp:1564001194137 ID:1003 DeviceID:null location:[12.6,5.2] floor:0 
timestamp:1564001194137 ID:1006 DeviceID:null location:[12.6,5.2] floor:0 
timestamp:1564001194137 ID:1009 DeviceID:null location:[14.0,8.0] floor:0 
timestamp:1564001194137 ID:1008 DeviceID:null location:[14.0,8.0] floor:0 
timestamp:1564001194137 ID:1000 DeviceID:null location:[15.0,3.1] floor:0 
timestamp:1564001194137 ID:1001 DeviceID:null location:[15.0,3.1] floor:0 
timestamp:1564001194137 ID:1004 DeviceID:null location:[2.0,2.0] floor:0 
timestamp:1564001194137 ID:1007 DeviceID:null location:[6.0,2.0] floor:1 
timestamp:1564001194137 ID:1002 DeviceID:null location:[15.0,3.1] floor:1 
timestamp:1564001194137 ID:1005 DeviceID:null location:[20.0,3.1] floor:1 
timestamp:1564001199137 ID:1006 DeviceID:null location:[12.6,5.2] floor:0 
timestamp:1564001199137 ID:1008 DeviceID:null location:[10.0,8.0] floor:0 
timestamp:1564001199137 ID:1001 DeviceID:null location:[10.0,8.0] floor:0 
timestamp:1564001199137 ID:1009 DeviceID:null location:[14.0,8.0] floor:0 
timestamp:1564001199137 ID:1002 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001199137 ID:1005 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001199137 ID:1004 DeviceID:null location:[2.0,2.0] floor:0 
timestamp:1564001199137 ID:1003 DeviceID:null location:[12.6,5.2] floor:1 
timestamp:1564001199137 ID:1007 DeviceID:null location:[10.0,2.0] floor:1 
timestamp:1564001199137 ID:1000 DeviceID:null location:[10.0,8.0] floor:1 
timestamp:1564001204137 ID:1006 DeviceID:null location:[12.6,5.2] floor:0 
timestamp:1564001204137 ID:1002 DeviceID:null location:[6.0,2.0] floor:0 
timestamp:1564001204137 ID:1005 DeviceID:null location:[14.0,8.0] floor:0 
timestamp:1564001204137 ID:1008 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001204137 ID:1001 DeviceID:null location:[2.0,2.0] floor:0 
timestamp:1564001204137 ID:1003 DeviceID:null location:[12.6,5.2] floor:1 
timestamp:1564001204137 ID:1007 DeviceID:null location:[10.0,2.0] floor:1 
timestamp:1564001204137 ID:1000 DeviceID:null location:[10.0,8.0] floor:1 
timestamp:1564001204137 ID:1004 DeviceID:null location:[14.0,8.0] floor:1 
timestamp:1564001204137 ID:1009 DeviceID:null location:[15.0,0.9] floor:1 
timestamp:1564001209137 ID:1002 DeviceID:null location:[6.0,2.0] floor:0 
timestamp:1564001209137 ID:1006 DeviceID:null location:[10.0,8.0] floor:0 
timestamp:1564001209137 ID:1008 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001209137 ID:1005 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001209137 ID:1001 DeviceID:null location:[2.0,2.0] floor:0 
timestamp:1564001209137 ID:1003 DeviceID:null location:[12.6,5.2] floor:1 
timestamp:1564001209137 ID:1007 DeviceID:null location:[6.0,2.0] floor:1 
timestamp:1564001209137 ID:1000 DeviceID:null location:[10.0,8.0] floor:1 
timestamp:1564001209137 ID:1004 DeviceID:null location:[14.0,8.0] floor:1 
timestamp:1564001209137 ID:1009 DeviceID:null location:[2.0,2.0] floor:1 
timestamp:1564001214137 ID:1002 DeviceID:null location:[6.0,2.0] floor:0 
timestamp:1564001214137 ID:1008 DeviceID:null location:[14.0,8.0] floor:0 
timestamp:1564001214137 ID:1005 DeviceID:null location:[14.0,8.0] floor:0 
timestamp:1564001214137 ID:1001 DeviceID:null location:[22.0,8.0] floor:0 
timestamp:1564001214137 ID:1006 DeviceID:null location:[14.0,8.0] floor:1 
timestamp:1564001214137 ID:1007 DeviceID:null location:[14.0,8.0] floor:1 
timestamp:1564001214137 ID:1000 DeviceID:null location:[14.0,8.0] floor:1 
timestamp:1564001214137 ID:1003 DeviceID:null location:[18.0,8.0] floor:1 
timestamp:1564001214137 ID:1009 DeviceID:null location:[2.0,2.0] floor:1 
timestamp:1564001214137 ID:1004 DeviceID:null location:[22.0,8.0] floor:1 
timestamp:1564001219137 ID:1005 DeviceID:null location:[12.6,5.2] floor:0 
timestamp:1564001219137 ID:1000 DeviceID:null location:[15.0,0.9] floor:0 
timestamp:1564001219137 ID:1001 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001219137 ID:1009 DeviceID:null location:[12.6,5.2] floor:1 
timestamp:1564001219137 ID:1008 DeviceID:null location:[6.0,8.0] floor:1 
timestamp:1564001219137 ID:1006 DeviceID:null location:[14.0,8.0] floor:1 
timestamp:1564001219137 ID:1007 DeviceID:null location:[14.0,8.0] floor:1 
timestamp:1564001219137 ID:1002 DeviceID:null location:[14.0,8.0] floor:1 
timestamp:1564001219137 ID:1003 DeviceID:null location:[18.0,8.0] floor:1 
timestamp:1564001219137 ID:1004 DeviceID:null location:[22.0,8.0] floor:1 
timestamp:1564001224137 ID:1005 DeviceID:null location:[12.6,5.2] floor:0 
timestamp:1564001224137 ID:1002 DeviceID:null location:[15.0,0.9] floor:0 
timestamp:1564001224137 ID:1001 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001224137 ID:1000 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001224137 ID:1007 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001224137 ID:1004 DeviceID:null location:[2.0,2.0] floor:0 
timestamp:1564001224137 ID:1009 DeviceID:null location:[12.6,5.2] floor:1 
timestamp:1564001224137 ID:1008 DeviceID:null location:[6.0,8.0] floor:1 
timestamp:1564001224137 ID:1006 DeviceID:null location:[14.0,8.0] floor:1 
timestamp:1564001224137 ID:1003 DeviceID:null location:[2.0,2.0] floor:1 
timestamp:1564001229137 ID:1008 DeviceID:null location:[10.0,2.0] floor:0 
timestamp:1564001229137 ID:1001 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001229137 ID:1007 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001229137 ID:1004 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001229137 ID:1003 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001229137 ID:1005 DeviceID:null location:[12.6,5.2] floor:1 
timestamp:1564001229137 ID:1000 DeviceID:null location:[6.0,2.0] floor:1 
timestamp:1564001229137 ID:1002 DeviceID:null location:[10.0,2.0] floor:1 
timestamp:1564001229137 ID:1009 DeviceID:null location:[18.0,8.0] floor:1 
timestamp:1564001229137 ID:1006 DeviceID:null location:[22.0,8.0] floor:1 
timestamp:1564001234137 ID:1009 DeviceID:null location:[12.6,5.2] floor:0 
timestamp:1564001234137 ID:1005 DeviceID:null location:[14.0,8.0] floor:0 
timestamp:1564001234137 ID:1004 DeviceID:null location:[15.0,3.1] floor:0 
timestamp:1564001234137 ID:1007 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001234137 ID:1003 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001234137 ID:1008 DeviceID:null location:[22.0,8.0] floor:0 
timestamp:1564001234137 ID:1002 DeviceID:null location:[10.0,2.0] floor:1 
timestamp:1564001234137 ID:1000 DeviceID:null location:[2.0,2.0] floor:1 
timestamp:1564001234137 ID:1006 DeviceID:null location:[22.0,8.0] floor:1 
timestamp:1564001234137 ID:1001 DeviceID:null location:[22.0,8.0] floor:1 
timestamp:1564001239137 ID:1009 DeviceID:null location:[12.6,5.2] floor:0 
timestamp:1564001239137 ID:1005 DeviceID:null location:[14.0,8.0] floor:0 
timestamp:1564001239137 ID:1002 DeviceID:null location:[15.0,0.9] floor:0 
timestamp:1564001239137 ID:1004 DeviceID:null location:[15.0,3.1] floor:0 
timestamp:1564001239137 ID:1007 DeviceID:null location:[20.0,3.1] floor:0 
timestamp:1564001239137 ID:1008 DeviceID:null location:[22.0,8.0] floor:0 
timestamp:1564001239137 ID:1000 DeviceID:null location:[10.0,8.0] floor:1 
timestamp:1564001239137 ID:1003 DeviceID:null location:[15.0,3.1] floor:1 
timestamp:1564001239137 ID:1001 DeviceID:null location:[15.0,3.1] floor:1 
timestamp:1564001239137 ID:1006 DeviceID:null location:[22.0,8.0] floor:1 
timestamp:1564001244137 ID:1009 DeviceID:null location:[12.6,5.2] floor:0 
timestamp:1564001244137 ID:1002 DeviceID:null location:[15.0,0.9] floor:0 
timestamp:1564001244137 ID:1004 DeviceID:null location:[15.0,0.9] floor:0 
timestamp:1564001244137 ID:1005 DeviceID:null location:[22.0,8.0] floor:0 
timestamp:1564001244137 ID:1008 DeviceID:null location:[10.0,2.0] floor:1 
timestamp:1564001244137 ID:1007 DeviceID:null location:[18.0,8.0] floor:1 
timestamp:1564001244137 ID:1000 DeviceID:null location:[15.0,0.9] floor:1 
timestamp:1564001244137 ID:1003 DeviceID:null location:[15.0,3.1] floor:1 
timestamp:1564001244137 ID:1001 DeviceID:null location:[15.0,3.1] floor:1 
timestamp:1564001244137 ID:1006 DeviceID:null location:[22.0,8.0] floor:1 
timestamp:1564001249137 ID:1007 DeviceID:null location:[10.0,2.0] floor:0 
timestamp:1564001249137 ID:1002 DeviceID:null location:[15.0,0.9] floor:0 
timestamp:1564001249137 ID:1004 DeviceID:null location:[15.0,0.9] floor:0 
timestamp:1564001249137 ID:1009 DeviceID:null location:[2.0,2.0] floor:0 
timestamp:1564001249137 ID:1008 DeviceID:null location:[10.0,2.0] floor:1 
timestamp:1564001249137 ID:1000 DeviceID:null location:[15.0,0.9] floor:1 
timestamp:1564001249137 ID:1003 DeviceID:null location:[15.0,3.1] floor:1 
timestamp:1564001249137 ID:1001 DeviceID:null location:[15.0,3.1] floor:1 
timestamp:1564001249137 ID:1005 DeviceID:null location:[20.0,3.1] floor:1 
timestamp:1564001249137 ID:1006 DeviceID:null location:[22.0,8.0] floor:1 
timestamp:1564001254137 ID:1005 DeviceID:null location:[14.0,8.0] floor:0 
